RUN case=model mame_commit=a5cc550d0a2cf7218cbd94c1a0780f7a713f8d8e
RUN rom_sha256=e262e6aa26ddf6c7c8aa02f636d422709309e0a08945739b84886204d1693e33
[:xdata] XDATA model storage=enabled unknown_read=open-bus-ff xram_approx=0000-03ff
Soft reset
[:maincpu] write of un-hooked port 3 fd
[:maincpu] write of un-hooked port 2 ff
[:xdata] XDATA first op=W addr=036f pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0370 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0371 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0372 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0373 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0374 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0375 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0376 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0377 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0378 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0379 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=037a pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=037b pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=037c pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=037d pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=037e pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=037f pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0380 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0381 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0382 pc=8faf value=00 class=retained-xram-approx unknown=0
[:xdata] XDATA first op=W addr=0383 pc=8faf value=00 class=retained-xram-approx unknown=0
